                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                  2.063,                0.90327,                 2.3356,                0.93004,                0.83432,                0.89698,                0.52276,                 3.0793,                 1.4277,                 3.4218,               0.002575,               0.002575,               0.002575
                     77,                 2.0467,                 0.8973,                 2.3117,                0.92738,                0.83673,                0.89653,                 0.5214,                 3.0856,                 1.4339,                 3.4208,               0.002476,               0.002476,               0.002476
                     78,                 2.0228,                 0.8827,                  2.317,                 0.9259,                0.83538,                0.89531,                 0.5212,                  3.086,                 1.4392,                 3.4232,               0.002377,               0.002377,               0.002377
                     79,                 2.0232,                0.89203,                  2.314,                0.92597,                0.83622,                0.89504,                0.52142,                 3.0878,                 1.4441,                 3.4272,               0.002278,               0.002278,               0.002278
                     80,                 1.9982,                0.88058,                 2.2961,                 0.9246,                0.83787,                0.89448,                0.52061,                 3.0916,                 1.4452,                 3.4316,               0.002179,               0.002179,               0.002179
                     81,                 1.9923,                0.87462,                 2.2925,                0.92473,                0.83462,                 0.8945,                0.51978,                 3.0936,                 1.4412,                 3.4392,                0.00208,                0.00208,                0.00208
                     82,                  1.978,                0.87251,                 2.2826,                0.92173,                0.83547,                0.89362,                  0.519,                 3.0991,                 1.4413,                 3.4481,               0.001981,               0.001981,               0.001981
                     83,                 1.9484,                0.85413,                 2.2633,                0.92564,                0.83221,                0.89432,                0.51936,                 3.1025,                 1.4416,                 3.4494,               0.001882,               0.001882,               0.001882
                     84,                 1.9312,                0.85546,                  2.247,                0.92733,                0.83173,                0.89504,                0.51975,                 3.1052,                 1.4481,                 3.4478,               0.001783,               0.001783,               0.001783
                     85,                 1.9161,                0.83693,                 2.2354,                0.92632,                0.83221,                0.89433,                0.51952,                 3.1066,                 1.4543,                 3.4493,               0.001684,               0.001684,               0.001684
                     86,                 1.9069,                0.82959,                 2.2483,                0.92509,                0.83153,                0.89472,                 0.5198,                 3.1088,                 1.4572,                 3.4537,               0.001585,               0.001585,               0.001585
                     87,                 1.8941,                0.82414,                 2.2416,                0.92676,                0.83071,                0.89411,                0.52004,                 3.1107,                 1.4611,                 3.4609,               0.001486,               0.001486,               0.001486
                     88,                 1.8696,                0.81412,                 2.2231,                0.92236,                0.83185,                0.89403,                0.51967,                 3.1154,                 1.4644,                 3.4679,               0.001387,               0.001387,               0.001387
                     89,                 1.8494,                0.80579,                 2.2089,                0.92363,                0.83137,                0.89362,                0.51916,                 3.1182,                 1.4669,                 3.4736,               0.001288,               0.001288,               0.001288
                     90,                 1.8405,                0.80149,                 2.2104,                0.92956,                0.82835,                0.89409,                0.51882,                  3.123,                 1.4674,                 3.4808,               0.001189,               0.001189,               0.001189
                     91,                 1.7302,                0.68083,                  2.195,                0.92092,                0.83179,                0.89331,                0.51816,                 3.1258,                 1.4707,                 3.4859,                0.00109,                0.00109,                0.00109
                     92,                 1.6994,                0.66907,                 2.1886,                0.93242,                0.82428,                0.89306,                0.51824,                 3.1291,                 1.4754,                 3.4925,               0.000991,               0.000991,               0.000991
                     93,                 1.6626,                 0.6516,                 2.1684,                0.92894,                0.82727,                0.89402,                0.51908,                 3.1314,                 1.4792,                 3.4987,               0.000892,               0.000892,               0.000892
                     94,                 1.6388,                0.64538,                 2.1516,                0.93112,                 0.8255,                0.89438,                0.51886,                 3.1317,                 1.4845,                 3.5028,               0.000793,               0.000793,               0.000793
                     95,                 1.6276,                0.64272,                 2.1339,                0.92975,                0.82578,                0.89428,                 0.5186,                 3.1345,                 1.4861,                 3.5075,               0.000694,               0.000694,               0.000694
                     96,                 1.6046,                0.62485,                 2.1185,                0.92502,                0.82775,                0.89387,                0.51785,                 3.1367,                 1.4905,                 3.5109,               0.000595,               0.000595,               0.000595
                     97,                 1.5886,                0.62354,                  2.106,                0.92525,                0.82679,                0.89321,                0.51722,                 3.1402,                 1.4922,                 3.5154,               0.000496,               0.000496,               0.000496
                     98,                 1.5707,                0.61486,                 2.0987,                0.92383,                0.82831,                0.89308,                0.51698,                 3.1424,                 1.4951,                 3.5177,               0.000397,               0.000397,               0.000397
                     99,                 1.5582,                0.61107,                  2.093,                0.92672,                0.82715,                0.89283,                 0.5166,                 3.1446,                 1.4975,                 3.5213,               0.000298,               0.000298,               0.000298
                    100,                 1.5517,                0.60787,                 2.0876,                0.92534,                0.82855,                0.89301,                0.51587,                 3.1476,                 1.4996,                 3.5251,               0.000199,               0.000199,               0.000199
