                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 1.9694,                0.75254,                 2.2991,                0.95177,                0.91556,                0.96709,                0.68013,                 2.3363,                0.90583,                 2.8841,               0.003565,               0.003565,               0.003565
                     67,                 1.9601,                0.75464,                 2.2894,                0.95335,                0.91376,                 0.9671,                0.67602,                 2.3537,                0.90946,                 2.8984,               0.003466,               0.003466,               0.003466
                     68,                 1.9485,                0.74718,                 2.2704,                0.96048,                0.91303,                0.96814,                 0.6764,                 2.3663,                0.90351,                 2.8935,               0.003367,               0.003367,               0.003367
                     69,                 1.9385,                0.73903,                  2.272,                0.95882,                0.91436,                0.96902,                0.67849,                 2.3633,                0.90178,                 2.8881,               0.003268,               0.003268,               0.003268
                     70,                 1.9249,                0.74281,                 2.2698,                0.96109,                0.91279,                0.96914,                0.67888,                 2.3681,                0.90203,                 2.8918,               0.003169,               0.003169,               0.003169
                     71,                 1.9204,                 0.7296,                 2.2584,                0.95674,                0.91379,                 0.9682,                0.67755,                 2.3677,                0.90824,                 2.8867,                0.00307,                0.00307,                0.00307
                     72,                 1.8925,                0.73199,                 2.2452,                0.95892,                0.91388,                0.96843,                0.67677,                 2.3683,                0.90636,                 2.8857,               0.002971,               0.002971,               0.002971
                     73,                 1.8846,                0.73214,                 2.2392,                 0.9542,                0.91588,                0.96821,                0.67454,                 2.3745,                0.91173,                 2.8849,               0.002872,               0.002872,               0.002872
                     74,                 1.8685,                0.72191,                 2.2345,                0.95548,                0.91195,                0.96709,                0.67326,                 2.3792,                  0.915,                 2.8852,               0.002773,               0.002773,               0.002773
                     75,                 1.8622,                0.71489,                 2.2266,                0.95618,                0.91279,                0.96702,                0.67275,                 2.3899,                0.91888,                 2.8914,               0.002674,               0.002674,               0.002674
                     76,                 1.8552,                0.71489,                 2.2403,                0.95283,                 0.9125,                0.96672,                0.67159,                  2.391,                0.92001,                 2.8969,               0.002575,               0.002575,               0.002575
                     77,                 1.8379,                0.70539,                 2.2332,                0.95679,                0.90942,                0.96666,                0.67162,                 2.3891,                0.92015,                 2.9023,               0.002476,               0.002476,               0.002476
                     78,                 1.8251,                0.69374,                 2.2284,                0.95806,                0.91072,                0.96665,                0.67223,                 2.3911,                0.92093,                 2.9091,               0.002377,               0.002377,               0.002377
                     79,                 1.8164,                0.69801,                 2.2151,                0.95524,                0.91207,                 0.9661,                0.67159,                 2.3928,                0.92238,                 2.9125,               0.002278,               0.002278,               0.002278
                     80,                 1.8018,                0.68754,                 2.2038,                0.95438,                0.91219,                0.96638,                0.67017,                 2.3999,                 0.9245,                 2.9164,               0.002179,               0.002179,               0.002179
                     81,                 1.7908,                0.68096,                 2.1988,                0.95366,                0.91219,                0.96596,                0.67077,                 2.3979,                0.92703,                 2.9183,                0.00208,                0.00208,                0.00208
                     82,                 1.7739,                0.67659,                 2.1913,                0.95479,                0.91074,                0.96535,                0.67038,                 2.3967,                0.92795,                 2.9206,               0.001981,               0.001981,               0.001981
                     83,                 1.7591,                0.66886,                 2.1873,                0.95303,                0.91171,                0.96518,                0.67085,                  2.395,                 0.9286,                 2.9224,               0.001882,               0.001882,               0.001882
                     84,                 1.7473,                0.67311,                 2.1805,                0.95348,                0.91147,                  0.965,                 0.6718,                 2.3924,                0.92881,                 2.9231,               0.001783,               0.001783,               0.001783
                     85,                 1.7361,                0.66175,                 2.1668,                0.95483,                0.90846,                0.96475,                0.67131,                 2.3924,                0.93068,                 2.9243,               0.001684,               0.001684,               0.001684
                     86,                 1.7231,                0.65365,                  2.167,                0.95488,                0.90752,                0.96451,                0.67114,                 2.3922,                 0.9327,                 2.9268,               0.001585,               0.001585,               0.001585
                     87,                 1.7072,                0.65024,                 2.1717,                0.95857,                0.90701,                0.96444,                0.67076,                 2.3923,                0.93124,                 2.9314,               0.001486,               0.001486,               0.001486
                     88,                 1.6947,                0.64159,                 2.1636,                 0.9585,                0.90291,                0.96417,                0.67053,                 2.3922,                0.93513,                 2.9359,               0.001387,               0.001387,               0.001387
                     89,                 1.6809,                0.64074,                 2.1551,                0.95823,                0.90358,                0.96412,                0.66963,                  2.392,                0.93749,                  2.941,               0.001288,               0.001288,               0.001288
                     90,                  1.669,                0.63718,                 2.1432,                0.95676,                0.90625,                0.96414,                0.66998,                 2.3927,                0.94091,                 2.9453,               0.001189,               0.001189,               0.001189
                     91,                 1.5473,                0.54877,                 2.1066,                0.95742,                0.90508,                0.96399,                0.66993,                 2.3931,                0.94175,                 2.9491,                0.00109,                0.00109,                0.00109
                     92,                  1.521,                0.54979,                 2.0941,                0.95656,                0.90448,                0.96379,                0.67006,                 2.3926,                0.94185,                  2.951,               0.000991,               0.000991,               0.000991
                     93,                  1.508,                0.53986,                 2.0879,                0.95713,                 0.9036,                0.96369,                0.67074,                 2.3931,                0.94035,                 2.9536,               0.000892,               0.000892,               0.000892
                     94,                 1.4873,                0.52824,                 2.0712,                0.95612,                0.90542,                0.96368,                0.67037,                 2.3931,                0.94158,                 2.9552,               0.000793,               0.000793,               0.000793
                     95,                 1.4788,                0.52819,                 2.0664,                0.95716,                 0.9043,                 0.9637,                0.67115,                 2.3935,                0.94342,                 2.9567,               0.000694,               0.000694,               0.000694
                     96,                 1.4542,                0.51996,                 2.0552,                0.95624,                0.90552,                0.96354,                 0.6722,                 2.3937,                0.94539,                 2.9591,               0.000595,               0.000595,               0.000595
                     97,                  1.446,                0.51662,                  2.046,                0.95606,                0.90424,                0.96323,                0.67192,                 2.3956,                0.94637,                 2.9623,               0.000496,               0.000496,               0.000496
                     98,                 1.4307,                0.50997,                 2.0361,                0.95577,                0.90327,                0.96264,                0.67151,                 2.3967,                0.94727,                 2.9642,               0.000397,               0.000397,               0.000397
                     99,                 1.4189,                0.50616,                 2.0366,                0.95553,                 0.9034,                 0.9626,                0.67154,                 2.3971,                 0.9475,                 2.9668,               0.000298,               0.000298,               0.000298
                    100,                 1.4144,                 0.5038,                 2.0374,                0.95458,                0.90328,                0.96211,                0.67156,                 2.3977,                0.94962,                 2.9691,               0.000199,               0.000199,               0.000199
